clip_id,frame_idx,ts_offset,label,flow_magnitude,strip_diff_v1,strip_diff_v3
d001,1152,19.200000,noise,4.324677,4.496875,17.998875
d001,1164,19.400000,noise,2.671767,3.369103,14.019063
d001,1176,19.600000,noise,2.603058,6.084476,15.177312
d001,1188,19.800000,noise,2.952893,10.555595,16.929437
d002,12,0.200000,noise,5.126460,4.342742,8.211125
d002,24,0.400000,noise,3.704412,2.949143,8.283125
d002,36,0.600000,noise,1.909320,2.256653,5.182500
d002,48,0.800000,noise,2.381741,2.052218,4.993000
d002,60,1.000000,noise,4.147742,1.755847,4.027938
d002,72,1.200000,noise,5.579991,1.826260,4.286875
d002,84,1.400000,noise,5.616620,1.940474,4.429750
d002,96,1.600000,noise,5.394812,2.124899,4.907687
d002,108,1.800000,noise,2.532193,2.257661,5.042813
d002,120,2.000000,noise,7.936976,2.254637,5.086812
d002,132,2.200000,noise,2.431792,3.034879,6.732875
d002,144,2.400000,noise,7.152481,2.630948,6.436187
d002,156,2.600000,noise,6.477308,2.557258,5.882187
d002,168,2.800000,noise,6.270551,2.514315,5.785188
d002,180,3.000000,noise,2.926290,2.898337,7.276500
d002,192,3.200000,noise,5.281983,2.808367,7.221750
d002,204,3.400000,noise,5.103654,2.816583,6.868500
d002,216,3.600000,noise,2.808438,3.321119,7.971813
d002,228,3.800000,noise,2.184311,2.498337,6.019875
d002,240,4.000000,noise,1.551298,2.416129,6.314188
d002,252,4.200000,noise,1.737951,2.328478,5.148438
d002,264,4.400000,noise,1.613382,1.899093,3.976750
d002,276,4.600000,noise,2.023442,1.323790,3.796625
d002,288,4.800000,noise,2.196764,1.625050,3.759750
d002,300,5.000000,noise,2.625863,1.627369,3.911125
d002,312,5.200000,noise,4.365903,1.725353,5.476187
d002,324,5.400000,noise,3.665139,2.070212,6.771687
d002,336,5.600000,noise,2.962428,4.118145,22.915312
d002,348,5.800000,noise,4.403546,6.492490,15.836250
d002,360,6.000000,post_event,3.521864,5.063155,10.300187
d002,372,6.200000,post_event,3.123284,4.312046,9.443062
d002,384,6.400000,post_event,3.547930,4.828931,10.922937
d002,396,6.600000,post_event,4.132967,3.128276,9.490063
d002,408,6.800000,post_event,5.833338,4.690323,12.043250
d002,420,7.000000,post_event,4.623091,3.929990,9.686188
d002,432,7.200000,post_event,0.926995,2.037601,4.345187
d002,444,7.400000,post_event,2.738670,3.654839,8.219125
d002,456,7.600000,post_event,3.778199,3.501764,7.998687
d002,468,7.800000,post_event,4.042541,4.282107,10.440687
d002,480,8.000000,post_event,3.342263,4.823085,10.597375
d002,492,8.200000,post_event,2.782988,2.886391,5.343813
d002,504,8.400000,post_event,2.689619,4.812097,10.440125
d002,516,8.600000,real_delivery,4.512616,4.622581,11.699938
d002,528,8.800000,real_delivery,3.001604,6.199496,14.588563
d002,540,9.000000,real_delivery,2.469842,8.207359,19.899188
d002,552,9.200000,real_delivery,2.941714,11.514567,28.283812
d002,564,9.400000,real_delivery,1.652376,5.477823,12.243688
d002,576,9.600000,real_delivery,1.445269,2.837046,6.691750
d002,588,9.800000,real_delivery,0.774372,2.666633,5.477938
